CYPE  56.227000-117.447000 1860
CYPG  49.903000-098.274000 876
CYPH  58.472000-078.077000 82
CYPL  51.446000-090.215000 1257
CYPN  49.836000-064.289000 164
CYPQ  44.230000-078.363000 623
CYPR  54.286000-130.445000 115
CYPW  49.834000-124.500000 420
CYPX  60.051000-077.287000 72
CYPY  58.767000-111.117000 755
CYPZ  54.383000-125.950000 2326
CYQA  44.975000-079.303000 919
CYQB  46.794000-071.394000 240
CYQD  53.972000-101.092000 879
CYQF  52.179000-113.893000 2946
CYQG  42.275000-082.958000 617
CYQH  60.118000-128.822000 2238
CYQI  43.827000-066.088000 138
CYQK  49.788000-094.363000 1322
CYQL  49.630000-112.800000 3025
CYQM  46.112000-064.683000 230
CYQQ  49.711000-124.887000 82
CYQR  50.432000-104.666000 1880
CYQT  48.372000-089.324000 646
CYQU  55.180000-118.885000 2178
CYQV  51.265000-102.462000 1624
CYQW  52.769000-108.244000 1785
CYQX  48.940000-054.569000 492
CYQY  46.161000-060.048000 200
CYQZ  53.026000-122.510000 1775
CYRB  74.717000-094.969000 213
CYRJ  48.520000-072.266000 581
CYRL  51.067000-093.793000 1257
CYRM  52.430000-114.904000 3222
CYRT  62.811000-092.116000 92
CYRV  50.967000-118.183000 1440
CYSA  43.933000-060.000000 13
CYSB  46.625000-080.799000 1132
CYSC  45.438000-071.691000 784
CYSD  50.267000-111.183000 2507
CYSF  59.250000-105.841000 797
CYSJ  45.316000-065.890000 354
CYSK  56.538000-079.247000 102
CYSL  47.158000-067.835000 787
CYSM  60.022000-111.960000 666
CYSN  43.192000-079.172000 318
CYSR  72.982000-084.614000 2090
CYSU  46.439000-063.831000 52
CYSY  71.994000-125.243000 279
CYTE  64.230000-076.527000 161
CYTH  55.801000-097.864000 722
CYTJ  48.813000-087.099000 942
CYTL  53.817000-089.896000 722
CYTQ  58.668000-069.956000 118
CYTR  44.119000-077.528000 279
CYTS  48.570000-081.377000 958
CYTZ  43.628000-079.396000 249
CYUA  68.950000-137.217000 184
CYUB  69.433000-133.026000 13
CYUI  68.933000-116.917000 52
CYUJ  68.500000-113.217000 69
CYUK  68.750000-109.067000 302
CYUL  45.468000-073.741000 115
CYUQ  68.650000-101.733000 59
CYUS  68.817000-093.433000 167
CYUT  66.521000-086.225000 79
CYUV  68.933000-075.283000 46
CYUX  68.776000-081.244000 26
CYUY  48.207000-078.834000 981
CYVC  55.151000-105.262000 1234
CYVM  67.546000-064.031000 20
CYVO  48.054000-077.783000 1099
CYVP  58.096000-068.427000 121
CYVQ  65.283000-126.800000 236
CYVR  49.195000-123.182000 13
CYVT  55.839000-108.426000 1434
CYVV  44.746000-081.107000 722
CYWA  45.952000-077.319000 423
CYWG  49.911000-097.243000 778
CYWH  48.417000-123.333000 16
CYWJ  65.211000-123.436000 692
CYWK  52.922000-066.864000 1791
CYWL  52.183000-122.054000 3064
CYWO  65.759000-111.250000 1594
CYWV  52.796000-110.858000 2215
CYWY  63.209000-123.437000 489
CYXC  49.610000-115.783000 3061
CYXD  53.573000-113.521000 2185
CYXE  52.171000-106.700000 1640
CYXH  50.019000-110.721000 2336
CYXJ  56.238000-120.740000 2264
CYXL  50.114000-091.904000 1270
CYXN  62.239000-092.597000 62
CYXP  66.150000-065.717000 72
CYXQ  62.410000-140.868000 2113
CYXR  47.695000-079.849000 791
CYXS  53.891000-122.679000 2251
CYXT  54.466000-128.578000 705
CYXU  43.036000-081.154000 906
CYXX  49.025000-122.363000 187
CYXY  60.710000-135.068000 2300
CYXZ  47.967000-084.787000 935
CYYB  46.364000-079.423000 1204
CYYC  51.114000-114.020000 3533
CYYD  54.825000-127.183000 1699
CYYE  58.837000-122.597000 1243
CYYF  49.463000-119.602000 1119
CYYG  46.290000-063.121000 157
CYYH  69.546000-093.576000 89
CYYJ  48.647000-123.426000 62
CYYL  56.864000-101.076000 1161
CYYN  50.292000-107.691000 2661
CYYQ  58.737000-094.057000 92
CYYR  53.319000-060.426000 157
CYYT  47.619000-052.752000 456
CYYU  49.414000-082.468000 735
CYYW  50.300000-089.033000 1050
CYYY  48.609000-068.208000 171
CYYZ  43.677000-079.631000 564
CYZE  45.885000-082.568000 630
CYZF  62.463000-114.440000 669
CYZG  62.179000-075.667000 735
CYZH  55.293000-114.778000 1896
CYZP  53.254000-131.814000 20
CYZR  42.999000-082.309000 587
CYZS  64.193000-083.359000 207
CYZT  50.680000-127.366000 69
CYZU  54.144000-115.787000 2549
CYZV  50.224000-066.266000 177
CYZW  60.173000-132.743000 2297
CYZX  44.984000-064.917000 89
CYZY  55.304000-123.132000 2247
CZAG  53.750000-073.683000 1007
CZDI  53.567000-064.100000 1444
CZEM  52.226000-078.522000 20
CZFA  62.208000-133.376000 2333
CZFM  67.408000-134.860000 138
CZFN  64.909000-125.568000 328
CZNB  46.367000-079.417000 1194
CZOC  67.567000-139.833000 823
CZPC  49.521000-113.997000 3875
CZPK  69.350000-124.050000 20
CZST  55.933000-129.983000 23
CZUB  69.433000-133.033000 20
CZUE  70.167000-124.700000 56
CZUM  53.562000-064.106000 1430
CZVL  53.668000-113.854000 2238
CZWN  52.817000-111.083000 2244
DAAD  35.331000 004.204000 1496
DAAE  36.717000 005.067000 20
DAAF  26.967000 001.083000 1014
DAAG  36.694000 003.217000 79
DAAJ  24.293000 009.452000 3153
DAAP  26.724000 008.618000 1765
DAAS  36.183000 005.417000 3337
DAAT  22.815000 005.459000 4488
DAAV  36.794000 005.874000 33
DAAY  34.933000-000.433000 3770
DABB  36.822000 007.810000 13
DABC  36.287000 006.622000 2300
DABP  36.933000 006.950000 23
DABS  35.433000 008.126000 2641
DABT  35.550000 006.183000 2677
DAFI  34.683000 003.250000 3753
DAOB  35.341000 001.467000 3222
DAOF  27.667000-008.133000 1414
DAOI  36.217000 001.333000 466
DAON  35.015000-001.451000 807
DAOO  35.628000-000.609000 292
DAOR  31.617000-002.233000 2536
DAUA  27.839000-000.185000 912
DAUB  34.800000 005.733000 285
DAUE  30.569000 002.865000 1296
DAUG  32.382000 003.799000 1499
DAUH  31.674000 006.141000 459
DAUI  27.251000 002.511000 889
DAUK  33.068000 006.089000 276
DAUL  33.767000 002.933000 2493
DAUO  33.513000 006.783000 203
DAUT  29.241000 000.284000 1017
DAUU  31.933000 005.417000 486
DAUZ  28.051000 009.643000 1834
DBBB  06.356000 002.383000 16
DBBC  07.133000 002.050000 472
DBBK  11.150000 002.950000 942
DBBN  10.383000 001.367000 1401
DBBP  09.357000 002.609000 1257
DBBS  08.033000 002.467000 587
DFCC  13.567000-002.417000 1096
DFCO  11.750000-002.933000 886
DFCP  11.150000-001.150000 1050
DFEE  14.033000-000.067000 912
DFEF  12.033000 000.350000 1001
DFFD  12.354000-001.512000 1030
DFOD  12.467000-003.483000 974
DFOG  10.383000-003.169000 909
DFOO  11.168000-004.321000 1499
DGAA  05.596000-000.170000 203
DGAD  05.783000 000.633000 16
DGAH  06.600000 000.467000 518
